id,title,content,authorId,createdAt,updatedAt,instagram_id
60,Seymour Smith All Play Playground Time to,"Seymour Smith All Play Playground 

Time to feature one of my favorite parks in Omaha—Seymour Smith Playground (+ Splash Pad!) Seymour Smith is one of Omaha’s only barrier-free playgrounds ensuring access to all kids who come to play. It is amazing how often I meet mamas out and about that have not heard of this park. 

As a playground that is accessible to all, I love that the structure has ramps for kids to run, walk or roll (there is enough room for two wheelchairs!) Parents can assist their younger kiddos around the structure and there is still always room for everyone to buzz around and play. There are plenty of slides, ladders, and other features to keep everyone busy, which means that you can spend a long time at this one. With the splash pad so close by, your kids can go back and forth. I like this particular splash pad, it’s smaller than most others, but my daughter loves it and can easily spend 45 minutes here! 

I’m sure the no sand crew already saw from the photos—there is NO SAND! There is a soft, rubberized surface that does get warm as the sun shines on it all day. There are porta potties always available, as well as bathrooms that are open at certain times throughout the week as the baseball diamonds are open for games. There is plenty of parking as well! 

Ok, I gotta know—are you a Seymour fan, or have you never heard of it? When are you going to hit it up?! ",clpzow697000310stkk4w574j,2023-08-29 19:25:09,2023-08-29 19:25:09,3180264634149933232
67,"Elmwood Park Playground An old classic park,","Elmwood Park Playground 

An old classic park, we absolutely love coming here, affectionately named “Sandy Park” by my daughter—and yes, this one is sandy! 

Elmwood has multiple climbing structures with one geared towards older kids, and another for smaller toddlers (see slide 2!). Tons of natural shade from trees allow this park to be shaded from sun up to sundown, and tons of benches for the mamas who have graduated to “watch from a bench status.”

The most unique feature of this playground actually isn’t the equipment, but the dozens of toys scattered throughout. Before you stick your nose up like I did at first—these toys are BELOVED by the kids that visit this playground, even the broken ones. I used to think, “why on earth are the broken ones still here?” But the imagination I see happen when kids turn a broken truck wheel into a pirate’s buried treasure is unmatched. I’ve seen kids play for over an hour at this playground before even climbing on the equipment! 

Ok, down to the nitty gritty: while, yes, there are porta-potties, I would NOT recommend their use, and honestly just say “no bathrooms!” Unfortunately no water fountains, either—BYOW! (Bring your own water!) The area has a nice Little Rock wall around half of it, but not a fence. I’d you’ve got a runner, there is so much space around far from any busy roads or parking lots that generally you’d be able to catch them! Ha! 

Bonus? Closest drive through coffee joint is a locally owned favorite— @dundeedoubleshot 

Tell me—have you been to Elmwood Park Playground?? Love it? Hate it? ",clpzow697000310stkk4w574j,2023-08-08 18:46:29,2023-08-08 18:46:29,3165024884908351240
41,Metcalfe Park The East O Mamas have,"Metcalfe Park 

The East O Mamas have been recommending this little neighborhood gem, and here we are! So many of you consider this one your “go to” park, and I can see why! 

It’s got the enough of the classics to keep all littles busy—slides, swings and some climbing challenges. There are two structures, with one being definitely for our smaller playground pros as it has the smallest slide I’ve ever seen at a public park. We are talking red and blue Little Tykes Slide level small. It was so cute! There is plenty of natural shade and so many benches. Tucked in an old neighborhood means lots of BIG trees. No bathrooms and street parking put this playground in the “no frills” category. I’m sure y’all also noticed it has the s-word (s-a-n-d), but plenty of sidewalk and rubberized surface for us mamas with strollers to walk around. 

The biggest pro tip I’ve got for Metcalfe? Hit up @scbcomaha or @hayjaycoffee with some pals and then come over to Metcalfe to burn off some energy while y’all can possibly relax. Oh wait, we are moms at a playground we don’t know what it’s like to relax.",clpzow697000310stkk4w574j,2023-09-15 02:35:00,2023-09-15 02:35:00,3192077396160661654
39,I am so thrilled to announce the,"I am so thrilled to announce the winners of the Omaha Playground Collective Fall Playground Passport— @funyon and @alliea320 

I hope you all had fun exploring new playgrounds, playing with buddies and having fun this fall! I hope you have fun @chirpysplaycafe and that your littles play their heart out while you enjoy a drink from the cafe. 

I’d love to hear from you—did you like the passport? What do you want to see during these next few winter months?",clpzow697000310stkk4w574j,2023-11-07 22:23:10,2023-11-07 22:23:10,3231088539491660312
42,Benson Park Playground We have finally made,"Benson Park Playground 

We have finally made the trek over to Benson to feature the Benson Park Playground! It was such a beautiful day to be out at a playground and our visit to Benson didn’t disappoint. We love this playground as it’s a big structure with a wide variety of things to keep your little ones busy! Benson Playground is another All Play Playground similar to Seymour Smith, so there is a rubberized play surface, ramps and swings that accommodate all kiddos. 

There are five slides, different climbing challenges and so much room to just run—which brings me to mention that it isn’t fenced or contained and is relatively close to Military Avenue nearby, so if you’ve got a little one with wheels, be conscious of this! With so much to do you’ll see kids of all ages here enjoying playtime, and that always makes my “playground lady” heart all warm and fuzzy. 

The park is right by the Benson Park Lagoon as well as the splash pad that is closed for the season—to be featured next year! There looked to be a portapotty some distance away—but it’s safe to say no bathrooms are convenient. There are benches, picnic tables and lots of shade to enjoy as your littles play. 

Have you been here before? What do you like about Benson Playground?",clpzow697000310stkk4w574j,2023-10-11 22:08:36,2023-10-11 22:08:36,3211512257410108727
44,Lake Manawa Dream Land Playground I can’t,"Lake Manawa Dream Land Playground 

I can’t think of a better name for this park, it was truly a dream come true! I can’t even think of where to start as it was all so much fun. @iowaparksrec we are so into this one! 

This almost entirely enclosed (!!) playground is ADA accessible, and this benefits everyone, because the ramps and surfaces made for hours of play this morning. The wooden structure has been treated so no fear of splinters. As you see in the photos, there is literally something for everyone here—so many little “houses” and stores for your imaginative kiddos, as well as many different monkey bars, balance beams and spinners for your littles who need to burn energy. Everywhere you look there is something else to play with—a section that looks like a boat, complete with steering wheel, a small elephant slide, and swings! 

There is also an enclosed section that is for your littles, and it’s the only area of the park with a small sandbox, so those of you who avoid sand, it’s easy to do here. There are signs up with suggestions for what ages kids can enjoy which sections, but I would say all ages will have fun at this entire park! The ramps around the big structure make it easy to follow your little ones that might not understand their limits yet, and you never feel like you’re in the way of everyone else trying to get their playground on. 

There is either rubberized surface, mulch or rubberized mulch (??). There is plenty of parking as well as bathrooms. So many area for picnics and places to bring a lunch or snacks so that if you’re making a longer drive you can make your time worth it!

Have you been to this amazing playground? What is your favorite part about it?",clpzow697000310stkk4w574j,2023-09-23 19:46:20,2023-09-23 19:46:20,3198394693687493859
47,Orval Smith Park - Ralston Today we,"Orval Smith Park - Ralston 

Today we visited this little gem in Ralston! This playground is a biggie, and is perfect for kids who are pretty solid climbers. The equipment is a little dated, but that makes for some fun discoveries for your little ones! We had fun on a large climbing structure which definitely flexed our problem solving skills. With a huge twisty slide, so many bridges and multiple towers, your littles will be busy for a while! One thing I noticed is that so many of the monkey bars and hanging features are very tall! They are high in the air, and we avoided those so that didn’t have a long way to fall if we couldn’t make it across. 

There are swings, tons of benches, and both shade structures and natural shade from large trees! There is a great little trail that goes around the park that you could walk around and keep your eyes on your kiddos if you’re able to let them play independently. 

It’s such a nice little park, and I was surprised that it was empty for the entire time we were there! So tell me—have you been to this one?",clpzow697000310stkk4w574j,2023-09-06 20:17:38,2023-09-06 20:17:38,3186089261061279459
45,Wildewood Park We headed over to Ralston,"Wildewood Park 

We headed over to Ralston yesterday to visit Wildewood Park Playground! This was suggested by one of y’all (yes please send me more!) and what a fabulous suggestion! 

This structure, while small compared to some, packs a punch with slides and climbing structures. The most unique being the fish ladder! My playground tester loved that you climbed up the back of the fish (which obviously looks like its backbone!) and hopped right into a slide. This playground was a blast, we had fun on the swings and rope climbers. 

This park is tucked into some major trees, and as a mama, it felt so peaceful. It was quiet, away from main roads and small enough that I could sit and relax as the kids played. There were restrooms and even a volleyball court to play on. This would most likely be 5/5 stars for most, but it does have sand! 

Have you been to Wildewood? And how fun is that fish?! ",clpzow697000310stkk4w574j,2023-09-12 13:39:43,2023-09-12 13:39:43,3190237634202508779
43,Standing Bear Lake Play Area If you,"Standing Bear Lake Play Area

If you have littles who are full of imagination or just like to climb on everything—Standing Bear is the place for y’all! This playground is unique in that it mostly encourages kids to climb, balance and use their creativity while they have fun here. 

The fun outdoors and Native theme just adds to the magic as kids run jump and clim around the canoe, teepees and rocks and caves. In between the rubberized surface and sand are ropes to climb and balance, as well as animals—a baby bear, a horse and a few frogs! While we were there I saw kids from age 2-12 playing games and exploring. I’ve seen many versions of “The Floor is Lava” during our adventures, and this playground is ALMOST perfect for it.

There are no bathrooms nearby to the play area, and not much shade for parents to chill under as your kids explore. This is a bummer because this is a great playground to give your littlest ones some freedom as there isn’t much that is that tall where they could get into trouble! There are also two baby swings nearby. 

Hot Tip: Enter this play area through Entrance 4 off of 132nd street—drive until you see it! Bring your stroller and walking shoes and get a workout in while you’re here! 

Have you been here? Are your kids obsessed with floor is lava??",clpzow697000310stkk4w574j,2023-09-30 17:55:00,2023-09-30 17:55:00,3203412088441257724
51,Zorinsky Lake Park Playground What a fun,"Zorinsky Lake Park Playground 

What a fun playground with some great views of Zorinsky Lake! This playground has three sections—a smaller structure, a rope course and a larger structure with swings! 

We had fun running between the three sections, and I think you’ll find something for kids of all ages here. With tons of natural shade over the benches as well as a shaded structure with picnic tables, you can definitely find some relief of these hot final summer days! 

There are bathrooms nearby, and also… you’re at Zorinsky! There is a high trail to walk, run or even bike if y’all need to get some exercise in addition to some playing! 

Sorry sand-haters: I featured ANOTHER sand park! I promise no sand at my next venture! 

Pro-tip: plug in Zorinsky Soccer Fields to get the correct playground. 

So what do you think? Have you been here? Love it? Hate it?",clpzow697000310stkk4w574j,2023-08-16 20:02:48,2023-08-16 20:02:48,3170861498939402128
